query_id	Rprec
1	0.1081
2	0.0701
3	0.1486
4	0.1951
5	0.225
6	0.2016
7	0.1835
8	0.0345
9	0.2642
10	0.2635
11	0.1169
12	0.3051
13	0.2857
14	0.0943
15	0.0517
16	0.0
17	0.0
18	0.087
19	0.0656
20	0.4603
21	0.5217
22	0.0
23	0.0
24	0.0138
25	0.2051
26	0.1429
27	0.5
28	0.0526
29	0.0
30	0.0
31	1.0
32	0.0
33	0.2308
34	0.0
35	1.0
36	0.3333
37	0.0
38	0.0787
39	0.0
40	0.1497
41	0.125
42	0.1667
43	0.1429
44	0.1754
45	0.0
46	0.3158
47	0.1944
48	0.0
49	0.32
50	0.0
51	0.6667
52	0.8003
53	0.4961
54	0.4395
55	0.5618
56	0.5811
57	0.6364
58	0.6875
59	0.1514
60	0.0417
61	0.4038
62	0.4652
63	0.1667
64	0.2435
65	0.0
66	0.0
67	0.029
68	0.1802
69	0.25
70	0.5833
71	0.2923
72	0.1059
73	0.0162
74	0.0317
75	0.1351
76	0.0971
77	0.5028
78	0.735
79	0.0199
80	0.1336
81	0.2
82	0.6636
83	0.2156
84	0.0789
85	0.3573
86	0.2308
87	0.0556
88	0.0408
89	0.1143
90	0.2755
91	0.0
92	0.0746
93	0.3182
94	0.2941
95	0.1413
96	0.175
97	0.45
98	0.5
99	0.5154
100	0.2617
101	0.1818
102	0.3
103	0.2614
104	0.2963
105	0.0
106	0.1642
107	0.2692
108	0.1391
109	0.0
110	0.4322
111	0.5362
112	0.3659
113	0.04
114	0.1357
115	0.4037
116	0.1739
117	0.3654
118	0.2683
119	0.2646
120	0.0556
121	0.0585
122	0.3265
123	0.3321
124	0.3043
125	0.3716
126	0.2738
127	0.1667
128	0.0993
129	0.4756
130	0.5637
131	0.1429
132	0.632
133	0.5738
134	0.7273
135	0.3799
136	0.3077
137	0.3646
138	0.1746
139	0.1481
140	0.1972
141	0.1406
142	0.3495
143	0.2
144	0.02
145	0.237
146	0.4182
147	0.081
148	0.1307
149	0.0926
150	0.3568
